Filename,Classification,html
TheodoreGericaultPortraitofaKleptomaniac1822.jpg,Addiction Medicine,TheodoreGericaultPortraitofaKleptomaniac1822.html
TheodoreGericaultAWomanAddictedtoGambling1822oiloncanvas.jpg,Addiction Medicine,TheodoreGericaultAWomanAddictedtoGambling1822oiloncanvas.html
TheodoreGericaultPortaitofaWomanSufferingfromObsessiveEnvyTheHyena1822.jpg,Addiction Medicine,TheodoreGericaultPortaitofaWomanSufferingfromObsessiveEnvyTheHyena1822.html
29SantiagoRusinolMorphine1894.jpg,Addiction Medicine,29SantiagoRusinolMorphine1894.html
StredovekMiniaturefighterwithaswordandcrutch.jpg,Musculoskeletal,StredovekMiniaturefighterwithaswordandcrutch.html
64520891tamerlane624jpglegandhanddisabilityfrominjuries.jpg,Musculoskeletal,64520891tamerlane624jpglegandhanddisabilityfrominjuries.html
15PieterBruegeltheElderTheBeggars1568.jpg,Musculoskeletal,15PieterBruegeltheElderTheBeggars1568.html
dermatomyositisexperimentwithabirdJosephWrightofDeby1768.jpg,Musculoskeletal,dermatomyositisexperimentwithabirdJosephWrightofDeby1768.html
TheHolyGrailiscarriedtoSarrasJerusalamLaQuestedelSaintGraalFrance1316Notelamemancured.jpg,Musculoskeletal,TheHolyGrailiscarriedtoSarrasJerusalamLaQuestedelSaintGraalFrance1316Notelamemancured.html
7GeorgeGroszGrayDayStateFunctionaryfortheWarWounded1921Berlin.jpg,Musculoskeletal,7GeorgeGroszGrayDayStateFunctionaryfortheWarWounded1921Berlin.html
16HieronymusBoschTheProcessionofCripples1903.jpg,Musculoskeletal,16HieronymusBoschTheProcessionofCripples1903.html
SirCharlesBellVoultzKingsGermanLegion1836fromoriginalsketchmadeJuly11815.jpg,Musculoskeletal,SirCharlesBellVoultzKingsGermanLegion1836fromoriginalsketchmadeJuly11815.html
FranciscoGoyaBeggarsWhoGetaboutonTheirOwninBordeaux18247.jpg,Musculoskeletal,FranciscoGoyaBeggarsWhoGetaboutonTheirOwninBordeaux18247.html
CopyofMedievalcrutchesJuly18HermannofReichenau10131054.jpg,Musculoskeletal,CopyofMedievalcrutchesJuly18HermannofReichenau10131054.html
CopyofPeterPaulRubens17thcenturyallegoricalaltarpieceTheMiraclesofSaintFrancisXavierHealinVictimsofthePlague.jpg,Musculoskeletal,CopyofPeterPaulRubens17thcenturyallegoricalaltarpieceTheMiraclesofSaintFrancisXavierHealinVictimsofthePlague.html
Royal13BVIIIfol30vAcrippledman680x662.jpg,Musculoskeletal,Royal13BVIIIfol30vAcrippledman680x662.html
CopyofRembrandtvanRijnPeterandJohnHealingtheCrippleattheGateoftheTemple1659needtofindsource.jpg,Musculoskeletal,CopyofRembrandtvanRijnPeterandJohnHealingtheCrippleattheGateoftheTemple1659needtofindsource.html
CopyofLuttrellPsalter1325ManwithCrutches.jpg,Musculoskeletal,CopyofLuttrellPsalter1325ManwithCrutches.html
BarbersintheTombofUserhatAmenhotepII14381312BC.jpg,Pharmacology- Therapeutics,BarbersintheTombofUserhatAmenhotepII14381312BC.html
APharmacyc1700FrenchWellcomeLibraryLondon545x1024.jpg,Pharmacology- Therapeutics,APharmacyc1700FrenchWellcomeLibraryLondon545x1024.html
ImaginarydebatebetweenAverroesandPorphyry14thcenturyMonfredodeMonteImperialiLiberdeherbis.jfif,Pharmacology- Therapeutics,ImaginarydebatebetweenAverroesandPorphyry14thcenturyMonfredodeMonteImperialiLiberdeherbis.html
MatthijsNaiveuAFemalePatientSeatedWhilstOnePhysicianTakesherPulseandaSurgeonBleedsherFoot1700.jpg,Pharmacology- Therapeutics,MatthijsNaiveuAFemalePatientSeatedWhilstOnePhysicianTakesherPulseandaSurgeonBleedsherFoot1700.html
